,bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
23,23.0,5834.0,5789.0,45.0,99.22865958176209,0.7713404182379122,134194.0,128009.0,6185.0,22.26320915510105,72.98796318149634,50.72475402639529,20.696685529506873
24,24.0,5835.0,5799.0,36.0,99.38303341902314,0.6169665809768645,140029.0,133808.0,6221.0,23.27176597446868,73.41279206986076,50.14102609539208,21.509082141134865
25,25.0,5835.0,5807.0,28.0,99.52013710368466,0.47986289631533907,145864.0,139615.0,6249.0,24.281714146579013,73.74321453858862,49.461500392009604,22.341974715954553
26,26.0,5834.0,5800.0,34.0,99.4172094617758,0.5827905382242022,151698.0,145415.0,6283.0,25.29044488503948,74.1444418220439,48.853996937004425,23.14419863122712
27,27.0,5835.0,5800.0,35.0,99.40017137960582,0.5998286203941774,157533.0,151215.0,6318.0,26.29917562349995,74.55746990795375,48.2582942844538,23.933998100664766
28,28.0,5834.0,5795.0,39.0,99.33150497086048,0.6684950291395211,163367.0,157010.0,6357.0,27.307036766496225,75.01770120368185,47.71066443718563,24.698757275444393
29,29.0,5835.0,5795.0,40.0,99.31448157669237,0.6855184233076272,169202.0,162805.0,6397.0,28.314897909492505,75.48973330186453,47.17483539237203,25.450211036423322
30,30.0,5834.0,5803.0,31.0,99.46863215632499,0.5313678436750138,175036.0,168608.0,6428.0,29.324150405231485,75.8555581779561,46.53140777272461,26.230242688238956
31,31.0,5835.0,5799.0,36.0,99.38303341902314,0.6169665809768645,180871.0,174407.0,6464.0,30.332707224599115,76.28038706632051,45.947679841721396,26.981280940594058
32,32.0,5834.0,5787.0,47.0,99.19437778539596,0.8056222146040426,186705.0,180194.0,6511.0,31.33917701485269,76.83502478168515,45.495847766832455,27.675318691445245
33,33.0,5835.0,5801.0,34.0,99.41730934018852,0.582690659811476,192540.0,185995.0,6545.0,32.348081672405996,77.23625206514043,44.88817039273444,28.417876241405654
