,bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
57,57.0,2500.0,2490.0,10.0,99.6,0.4000000000000057,142530.0,139565.0,2965.0,56.614067824111636,83.92301160486838,27.308943780756742,47.07082630691399
58,58.0,2501.0,2490.0,11.0,99.56017592962814,0.43982407037185567,145031.0,142055.0,2976.0,57.62412785980853,84.2343617322389,26.610233872430364,47.73353494623656
59,59.0,2500.0,2490.0,10.0,99.6,0.4000000000000057,147531.0,144545.0,2986.0,58.634187895505434,84.51740730257572,25.883219407070285,48.40756865371735
60,60.0,2501.0,2488.0,13.0,99.48020791683327,0.5197920831667346,150032.0,147033.0,2999.0,59.64343663800097,84.88536654401359,25.241929906012622,49.027342447482496
61,61.0,2500.0,2484.0,16.0,99.36,0.6400000000000006,152532.0,149517.0,3015.0,60.65106279409378,85.3382394565525,24.687176662458718,49.5910447761194
62,62.0,2501.0,2491.0,10.0,99.60015993602559,0.3998400639744091,155033.0,152008.0,3025.0,61.66152847639137,85.62128502688932,23.959756550497957,50.25057851239669
63,63.0,2500.0,2483.0,17.0,99.32,0.6800000000000068,157533.0,154491.0,3042.0,62.6687489858835,86.10246249646192,23.43371351057843,50.785996055226825
64,64.0,2501.0,2492.0,9.0,99.64014394242304,0.3598560575769625,160034.0,156983.0,3051.0,63.679620314781765,86.35720350976507,22.677583194983306,51.45296624057686
65,65.0,2500.0,2487.0,13.0,99.48,0.519999999999996,162534.0,159470.0,3064.0,64.68846341067662,86.72516275120294,22.036699340526326,52.04634464751958
66,66.0,2501.0,2489.0,12.0,99.52019192323071,0.47980807676928805,165035.0,161959.0,3076.0,65.69811779977283,87.06481743560714,21.36669963583431,52.652470741222366
67,67.0,2501.0,2491.0,10.0,99.60015993602559,0.3998400639744091,167536.0,164450.0,3086.0,66.70858348207042,87.34786300594396,20.63927952387354,53.28904731043422
