,bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
12,12.0,1665.0,1649.0,16.0,99.03903903903904,0.9609609609609606,19979.0,18460.0,1519.0,11.248758431998635,63.66303436714166,52.414275935143024,12.152732060566162
13,13.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,21644.0,20117.0,1527.0,12.258465513354093,63.99832355406538,51.73985804071128,13.174197773411919
14,14.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,23309.0,21775.0,1534.0,13.268781953237827,64.29170159262364,51.02291963938581,14.194915254237289
15,15.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,24974.0,23429.0,1545.0,14.276660959008451,64.75272422464376,50.476063265635304,15.164401294498381
16,16.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,26639.0,25085.0,1554.0,15.285758681835631,65.12992455993295,49.844165878097314,16.142213642213644
17,17.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,28304.0,26741.0,1563.0,16.294856404662813,65.50712489522213,49.212268490559325,17.108765195137558
18,18.0,1665.0,1647.0,18.0,98.91891891891892,1.0810810810810807,29969.0,28388.0,1581.0,17.298469900735494,66.2615255658005,48.963055665065,17.95572422517394
19,19.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,31634.0,30043.0,1591.0,18.3069582650344,66.68063704945516,48.37367878442076,18.8830923947203
20,20.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,33299.0,31694.0,1605.0,19.313009195220193,67.26739312657166,47.95438393135147,19.747040498442367
21,21.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,34964.0,33349.0,1615.0,20.321497559519095,67.68650461022632,47.36500705070723,20.64953560371517
22,22.0,1664.0,1653.0,11.0,99.3389423076923,0.6610576923076934,36628.0,35002.0,1626.0,21.32876720676144,68.14752724224644,46.818760035485,21.526445264452644
23,23.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,38293.0,36657.0,1636.0,22.337255571060346,68.56663872590109,46.22938315484074,22.406479217603913
24,24.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,39958.0,38312.0,1646.0,23.34574393535925,68.98575020955575,45.640006274196494,23.275820170109355
25,25.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,41623.0,39969.0,1654.0,24.355451016714703,69.32103939647946,44.96558837976476,24.165054413542926
26,26.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,43288.0,41622.0,1666.0,25.362720663957052,69.82397317686505,44.461252512908004,24.983193277310924
27,27.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,44953.0,43279.0,1674.0,26.37242774531251,70.15926236378877,43.78683461847626,25.853643966547192
28,28.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,46618.0,44934.0,1684.0,27.380916109611412,70.57837384744342,43.197457737832,26.682897862232778
29,29.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,48283.0,46589.0,1694.0,28.389404473910314,70.99748533109808,42.60808085718776,27.502361275088546
30,30.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,49948.0,48241.0,1707.0,29.396064762624384,71.54233025984912,42.14626549722474,28.260691271236087
31,31.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,51613.0,49899.0,1714.0,30.40638120250812,71.83570829840738,41.42932709589927,29.11260210035006
32,32.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,53278.0,51556.0,1722.0,31.416088283863576,72.1709974853311,40.75490920146753,29.939605110336817
